Card number,Transaction date,Description,Value,Type
field_cc_account_number,field_cc_transaction_date,field_cc_transaction_description,field_cc_transaction_value,
4263930111123644,24/04/2012,APCOA CONNECT,5.6,
4263930111123644,24/04/2012,THE MAYFAIR PRINTING COMPANY,449.4,
4263930111123644,26/04/2012,THE MAYFAIR PRINTING COMPANY,60,
4263930111123644,8/5/2012,DIRECT DEBIT PAYMENT - THANK YOU,-142.58,
4263930111123644,9/5/2012,APCOA CONNECT,2.8,
4263930111123644,15/05/2012,FASTHOSTS INTERNET,17.99,
4263930111123644,25/06/2012,STARDUST,4.5,
4263930111123644,27/06/2012,THE MAYFAIR PRINTING COMPANY,174,
4263930111123644,27/06/2012,APCOA CONNECT,2.8,
4263930111123644,8/7/2012,DIRECT DEBIT PAYMENT - THANK YOU,-559.18,
4263930111123644,6/7/2012,POST OFFICE COUNTER,80,
4263930111123644,11/6/2012,APCOA CONNECT,2.8,
4263930111123644,14/07/2012,APCOA CONNECT,1.9,
4263930111123644,21/07/2012,JOJOMAMANBEBE.CO.U,53,
4263930111123644,30/05/2012,APCOA CONNECT,2.8,
4263930111123644,7/6/2012,DIRECT DEBIT PAYMENT - THANK YOU,-535.79,
4263930111123644,12/7/2012,DIAMOND INSURANCE,435.66,
4263930111123644,13/06/2012,THE MAYFAIR PRINTING COMPANY,559.18,
4263930111123644,7/8/2012,DIRECT DEBIT PAYMENT - THANK YOU,-994.84,
4263930111123644,27/08/2012,APCOA CONNECT,2.8,
4263930111123644,29/08/2012,APCOA CONNECT,2.8,
4263930111123644,7/9/2012,DIRECT DEBIT PAYMENT - THANK YOU,-5.6,
4263930111123644,19/09/2012,JOJOMAMANBEBE.CO.U,212,
4263930111123644,26/09/2012,APCOA CONNECT,2.8,
4263930111123644,8/10/2012,DIRECT DEBIT PAYMENT - THANK YOU,-214.8,
4263930111123644,10/10/2012,APCOA CONNECT,2.8,
4263930111123644,24/10/2012,APCOA CONNECT,2.8,
4263930111123644,7/11/2012,DIRECT DEBIT PAYMENT - THANK YOU,-5.6,
