Account number,Transaction date,Description,Value,Type
field_ba_account_number,field_ba_transaction_date,field_ba_transaction_description,field_ba_transaction_value,
12358940,11/5/2012,MORTGAGE,984.19,
12358940,10/10/2012,REPAYMENT MTG,-983.4,
12358940,10/5/2012,MORTGAGE,984.19,
12358940,9/10/2012,REPAYMENT MTG,-983.4,
12358940,9/5/2012,MORTGAGE,984.19,
12358940,8/10/2012,REPAYMENT MTG,-983.4,
10355134,31/10/2012,ARGOS RETAIL GROUP,-89.69,
10355134,31/10/2012,VODAFONE LTD,-10,
10355134,30/10/2012,SLICEHOST,8.55,
10355134,30/10/2012,JOHN LEWIS,-33,
10355134,30/10/2012,THE NEW CURRY CENT,-30.2,
10355134,30/10/2012,THE SUSSEX BARN,-18.58,
10355134,29/10/2012,SALARY,3300,
10355134,29/10/2012,TFR 92881028631111,1064.84,
10355134,29/10/2012,BARCLAYCARD,-1064.84,
10355134,29/10/2012,NCCL LIBERTY 029672,-5,
10355134,29/10/2012,PAYPAL PAYMENT 4SZJ2223CUT,-10.5,
10355134,29/10/2012,Amazon *Mktplce EU,-72.75,
10355134,26/10/2012,PAYPAL *GAVINWATT,-31,
10355134,26/10/2012,CO-OP GROUP 310445,-14.06,
10355134,25/10/2012,FRIENDS LIFE DD 016751111/3,-72.13,
10355134,25/10/2012,BOOTS REWARDSCHEME CR027351111,-30,
10355134,25/10/2012,APPLE ITUNES STORE,-13.99,
10355134,23/10/2012,206642,-16.6,
10355134,23/10/2012,TESCO UPT 3873,-47.74,
10355134,23/10/2012,TESCO STORE 2675,-30.22,
10355134,23/10/2012,SLICEHOST,-5.98,
10355134,22/10/2012,JE512200A DWP CA 00010001111,233.8,
10355134,22/10/2012,LINK 15:02OCT20,-30,
10355134,22/10/2012,PAYPAL *MICROSOFTL,-8.5,
10355134,22/10/2012,AIRBRAKE,-3.19,
10355134,19/10/2012,NEW SOUTHERN RAILW,-13.4,
10355134,18/10/2012,BT GROUP PLC GB09331111-,-50.11,
10355134,18/10/2012,CO-OP GROUP 310445,-20.37,
10355134,17/10/2012,206644,-120,
10355134,17/10/2012,90344,-5,
10355134,17/10/2012,SAINSBURYS TO YOU,-194.81,
10355134,17/10/2012,THE RELIANCE,-15.15,
10355134,17/10/2012,BACKBLAZE BACKUP,-6.41,
10355134,16/10/2012,PM734102C DWP DLA 00010001111,423.6,
10355134,16/10/2012,682807591111-CHB,81.2,
10355134,16/10/2012,H & M,15,
10355134,16/10/2012,OPEN RIGHTS GROUP NELSTON203,-5,
10355134,16/10/2012,B & Q,-37.46,
10355134,16/10/2012,NEW SOUTHERN RAILW,-16.2,
10355134,16/10/2012,KFC HORSHAM,-11.17,
10355134,16/10/2012,TESCO STORES 2675,-8.7,
10355134,16/10/2012,APPLE ITUNES STORE,-1.99,
10355134,15/10/2012,LINK 13:16OCT15,-40,
10355134,15/10/2012,CO-OP GROUP 000000,-38.36,
10355134,15/10/2012,PIZZA EXPRESS,-20,
10355134,15/10/2012,Amazon Digital Dwn,-5.49,
10355134,12/10/2012,FIRST UTILITY 426104-017,-99.04,
10355134,12/10/2012,PAYPAL PAYMENT 4SZJ2223CUT,-13.88,
10355134,12/10/2012,LINK 13:57OCT12,-30,
10355134,12/10/2012,PAYPAL *HUMBLEBUND,-9.67,
10355134,11/10/2012,HFX HOME HHH46931111,-44.19,
10355134,10/10/2012,THE TANNERS ARMS,-15.8,
10355134,10/10/2012,PAYPAL *INSTAPAPER,-1.93,
10355134,9/10/2012,LINK 08:22OCT09,-30,
10355134,9/10/2012,TESCO STORE 2675,-38.43,
10355134,9/10/2012,HOMEBASE LTD 471,-22.94,
10355134,9/10/2012,NEW FRIEND,-18.3,
10355134,9/10/2012,Amazon Digital Dwn,-8.38,
10355134,8/10/2012,TFR 92881028631111,314,
10355134,8/10/2012,GEORGE HARROD,-314,
10355134,8/10/2012,ACTION AID 0852467 2,-13.02,
10355134,8/10/2012,APPLE ITUNES STORE,-1.38,
10355134,5/10/2012,FIRST DIRECT MORTGAGE,-684.19,
10355134,5/10/2012,STANDARD LIFE A CO K1377871111,-120,
10355134,5/10/2012,ECLIPSE HAIR AND B,-36,
10355134,5/10/2012,Amazon Web Service,-1.5,
10355134,4/10/2012,SAINSBURYS TO YOU,6.62,
10355134,4/10/2012,HFC BANK LTD HFC BANK 47,-33.94,
10355134,3/10/2012,SKY DIGITAL 00620021111,-35.25,
10355134,3/10/2012,VODAFONE LIMITED 25611111M53,-49.14,
10355134,3/10/2012,SAINSBURYS TO YOU,-162.48,
10355134,2/10/2012,CHILDRENS MUTUAL SMI00001111,-50,
10355134,2/10/2012,206641,-450,
10355134,2/10/2012,TESCO EXPRESS 2688,-59.71,
10355134,2/10/2012,HOMEBASE LTD 471,-19.53,
10355134,2/10/2012,VODAFONE LTD,-10,
10355134,2/10/2012,Amazon Digital Dwn,-7.49,
10355134,2/10/2012,BUNCE HARDWARE,-5.25,
10355134,1/10/2012,SUBSCRIPTION,-13,
10355134,1/10/2012,SOUTHERN WATER 00040391111,-21.9,
10355134,1/10/2012,TV LICENCE MBP 1516961111,-12.12,
10355134,1/10/2012,HDC GENERAL ACCT 11481111,-212,
10355134,1/10/2012,LINK 14:48SEP30,-60,
10355134,1/10/2012,M&S SIMPLY FOOD,-16.83,
10355134,28/09/2012,WHITE STUFF,-33.96,
10355134,28/09/2012,WILKINSON,-22.13,
10355134,28/09/2012,"BOOTS,HORSHAM",-5.7,
10355134,28/09/2012,CO-OP GROUP 500593,-4.88,
10355134,27/09/2012,LINK 23:56SEP26,-30,
10355134,27/09/2012,TESCO EXPRESS 2688,-10.74,
10355134,26/09/2012,SALARY,3300,
10355134,26/09/2012,CHRIS ADAMS OMENA HOTEL,-98.09,
10355134,26/09/2012,PAYPAL PAYMENT 4SZJ2223CUT,-13.5,
10355134,26/09/2012,NEW SOUTHERN RAILW,-5.1,
10355134,26/09/2012,Amazon *Mktplce EU,-2.95,
10355134,25/09/2012,FRIENDS LIFE DD 016751111/3,-72.13,
10355134,25/09/2012,NCCL LIBERTY 029672,-5,
10355134,25/09/2012,BOOTS REWARDSCHEME CR027351111,-30,
10355134,25/09/2012,MOTHERCARE UK 010,-76.96,
10355134,25/09/2012,BHS 137,-67,
10355134,25/09/2012,H & M,-15,
10355134,24/09/2012,JE512200A DWP CA 00010001111,233.8,
10355134,24/09/2012,LINK 19:10SEP23,-30,
10355134,24/09/2012,PAYPAL *SMALLBATTE,-8.95,
10355134,21/09/2012,DEBIT INTEREST,-0.37,
10355134,21/09/2012,SAINSBURY'S S/MKT,-87.15,
10355134,21/09/2012,SLICEHOST,-25.4,
10355134,20/09/2012,90345,-59.8,
10355134,20/09/2012,MARKS & SPENCER,-11.56,
10355134,20/09/2012,AIRBRAKE,-3.16,
10355134,20/09/2012,APPLE ITUNES STORE,-0.69,
10355134,19/09/2012,PAYPAL PAYMENT 4SZJ2223CUT,-31.01,
10355134,19/09/2012,LINK 15:02SEP19,-30,
10355134,19/09/2012,TRAVELEX UK LTD,-165.77,
10355134,19/09/2012,Aalto-korkeakoulus,-26.63,
10355134,19/09/2012,Amazon *Mktplce EU,-8.45,
10355134,18/09/2012,PM734102C DWP DLA 00010001111,423.6,
10355134,18/09/2012,682807591111-CHB,81.2,
10355134,18/09/2012,BT GROUP PLC GB09331111-,-50.15,
10355134,18/09/2012,ASK RESTAURANT,-38.35,
10355134,18/09/2012,PETS AT HOME,-34.39,
10355134,18/09/2012,NANDOS CRAWLEY,-27.55,
10355134,18/09/2012,THE BREAKFAST CLUB,-23.1,
10355134,18/09/2012,ASI*KICKSTARTER CO,-22.22,
10355134,18/09/2012,NEW SOUTHERN RAILW,-17.9,
10355134,18/09/2012,NEW FRIEND,-16.1,
10355134,18/09/2012,STAPLES UK,-10.49,
10355134,18/09/2012,B & Q,-8.08,
10355134,18/09/2012,BACKBLAZE BACKUP,-6.35,
10355134,17/09/2012,OPEN RIGHTS GROUP NELSTON203,-5,
10355134,17/09/2012,LINK 13:13SEP17,-20,
10355134,17/09/2012,NIGHTINGALE SERVS,-253.68,
10355134,17/09/2012,TESCO STORE 2675,-32.96,
10355134,17/09/2012,NEW SOUTHERN RAILW,-17.6,
10355134,17/09/2012,THE PAVILIONS IN T,-4.9,
10355134,14/09/2012,PAYPAL PAYMENT 4SZJ2223CUT,-62.14,
10355134,13/09/2012,LINK 16:47SEP13,-60,
10355134,13/09/2012,SAINSBURYS TO YOU,-184.3,
10355134,13/09/2012,APPLE ITUNES STORE,-13.99,
10355134,12/9/2012,FIRST UTILITY 426104-016,-90.52,
10355134,12/9/2012,Amazon EU,-86.37,
10355134,11/9/2012,TESCO EXPRESS 2688,2.09,
10355134,11/9/2012,HFX HOME HHH46931111,-44.19,
10355134,11/9/2012,SAINSBURY'S S/MKT,-66.2,
10355134,11/9/2012,TESCO EXPRESS 2688,-50.18,
10355134,11/9/2012,SAINSBURYS PETROL,-48.18,
10355134,10/9/2012,ACTION AID 0852467 2,-13.02,
10355134,10/9/2012,MAPLIN THE STRAND,-21.99,
10355134,7/9/2012,CO-OP GROUP 310445,-7.58,
10355134,7/9/2012,Amazon Web Service,-1.5,
10355134,5/9/2012,FIRST DIRECT MORTGAGE,-684.19,
10355134,5/9/2012,STANDARD LIFE A CO K1377871111,-120,
10355134,5/9/2012,90340,-400,
10355134,5/9/2012,LINK 17:12SEP05,-30,
10355134,5/9/2012,COOP ATM12:05SEP05,-20,
10355134,4/9/2012,SKY DIGITAL 00620021111,-35.25,
10355134,4/9/2012,HFC BANK LTD HFC BANK 47,-33.94,
10355134,4/9/2012,90342,-19.5,
10355134,4/9/2012,NEW SOUTHERN RAILW,-34.3,
10355134,4/9/2012,GREATER ANGLIA,-23.4,
10355134,4/9/2012,CHIP  FISH,-21,
10355134,4/9/2012,LAKELAND,-15.99,
10355134,4/9/2012,SUPERDRUG STORES P,-7.33,
10355134,4/9/2012,CAFFEE NERO,-5.25,
10355134,3/9/2012,SALARY,3300,
10355134,3/9/2012,CDC SUPPORT GROUP,-30,
10355134,3/9/2012,SUBSCRIPTION,-13,
10355134,3/9/2012,SOUTHERN WATER 00040391111,-21.9,
10355134,3/9/2012,TV LICENCE MBP 1516961111,-12.12,
10355134,3/9/2012,HDC GENERAL ACCT 11481111,-212,
10355134,3/9/2012,CHILDRENS MUTUAL SMI00001111,-50,
10355134,3/9/2012,VODAFONE LIMITED 25611111M15,-42.92,
10355134,3/9/2012,90341,-16.6,
10355134,3/9/2012,LINK 08:53SEP02,-40,
10355134,3/9/2012,LINK 18:40AUG31,-20,
10355134,3/9/2012,AUSTINS,-49,
10355134,3/9/2012,CO-OP GROUP 310447,-18.59,
10355134,31/08/2012,NCCL LIBERTY 029672,-5,
10355134,31/08/2012,LINK 09:54AUG31,-30,
10355134,31/08/2012,Amazon *Mktplce EU,-11.44,
10355134,31/08/2012,VODAFONE PAYG,-10,
10355134,31/08/2012,TESCO EXPRESS 2688,-8,
10355134,30/08/2012,Amazon *Mktplce EU,-21.45,
10355134,30/08/2012,Amazon *Mktplce EU,-18.47,
10355134,29/08/2012,Amazon EU,-278.21,
10355134,29/08/2012,CURTAINSBLINDS,-119.75,
10355134,29/08/2012,WAGAMAMA,-71.5,
10355134,29/08/2012,PEASE POTTAGE MWSA,-52.42,
10355134,29/08/2012,CO-OP GROUP 000000,-43.72,
10355134,29/08/2012,HOMEBASE LTD 471,-14.97,
10355134,29/08/2012,WAITROSE 200,-10.42,
10355134,28/08/2012,FRIENDS LIFE DD 016751111/3,-72.13,
10355134,28/08/2012,BOOTS REWARDSCHEME CR027351111,-30,
10355134,24/08/2012,JE512200A DWP CA 00010001111,233.8,
10355134,24/08/2012,CARPETRIGHT PLC,-77.9,
10355134,24/08/2012,APPLE ITUNES STORE,-10.49,
10355134,23/08/2012,000000 CREDIT,26.6,
10355134,23/08/2012,SAINSBURYS TO YOU,-158.13,
10355134,23/08/2012,Amazon Digital Dwn,-3.99,
10355134,22/08/2012,CO-OP GROUP 310447,-23.39,
10355134,22/08/2012,HOXTON GRILL,-23,
10355134,22/08/2012,ROSSO POMODORO,-17,
10355134,22/08/2012,THE RELIANCE,-16.3,
10355134,22/08/2012,NEW SOUTHERN RAILW,-13.4,
10355134,21/08/2012,PM734102C DWP DLA 00010001111,423.6,
10355134,21/08/2012,682807591111-CHB,81.2,
10355134,21/08/2012,HOMEBASE LTD 471,19.29,
10355134,21/08/2012,LINK 01:03AUG21,-30,
10355134,21/08/2012,HOMEBASE LTD 471,-90.13,
10355134,21/08/2012,THE HOLMBUSH INN,-63.7,
10355134,21/08/2012,TESCO STORE 2675,-26.62,
10355134,21/08/2012,SLICEHOST,-26.2,
10355134,21/08/2012,HOMEBASE LTD 471,-9.64,
10355134,21/08/2012,AIRBRAKE,-3.28,
10355134,20/08/2012,TFR 92881028631111,5143,
10355134,20/08/2012,INTEREST TAX PAID,0.02,
10355134,20/08/2012,GEORGE HARROD,-5143,
10355134,20/08/2012,DEBIT INTEREST,-0.07,
10355134,20/08/2012,BT GROUP PLC GB09331111-,-49,
10355134,17/08/2012,CO-OP GROUP 310447,-32.43,
10355134,17/08/2012,BACKBLAZE BACKUP,-6.57,
10355134,17/08/2012,ASI*KICKSTARTER CO,-6.57,
10355134,16/08/2012,OPEN RIGHTS GROUP NELSTON203,-5,
10355134,16/08/2012,LINK 13:38AUG16,-30,
10355134,16/08/2012,BP GILHAMS S/STN,-44.86,
10355134,16/08/2012,CO-OP GROUP 310445,-13.92,
10355134,15/08/2012,NEW FOREST LODGE H,-185,
10355134,15/08/2012,IKEA SACAT,-33,
10355134,15/08/2012,RED ROVER,-23.15,
10355134,15/08/2012,IKEA SACAT,-12.3,
10355134,15/08/2012,IKEA,-9.95,
10355134,14/08/2012,FIRST UTILITY 426104-015,-90.92,
10355134,14/08/2012,SAINSBURY'S S/MKT,-95,
10355134,14/08/2012,ROYAL JAIPUR,-38.15,
10355134,14/08/2012,PAYPAL *BEERBODSLT,-35,
10355134,14/08/2012,CATES DELICATESSEN,-31.15,
10355134,13/08/2012,HFX HOME HHH46931111,-44.19,
10355134,13/08/2012,COOP ATM12:31AUG12,-50,
10355134,13/08/2012,COTE HAYS GALLERIA,-46.29,
10355134,13/08/2012,NEW SOUTHERN RAILW,-26.8,
10355134,13/08/2012,ORBITCIRCUS2012,-19.3,
10355134,10/8/2012,Amazon Digital Dwn,-5.39,
10355134,8/8/2012,ACTION AID 0852467 2,-13.02,
10355134,8/8/2012,CO-OP GROUP 310445,-16.14,
10355134,7/8/2012,HOMEBASE LTD 087,16.88,
10355134,7/8/2012,SALARY,3300,
10355134,7/8/2012,TFR 92881028631111,3000,
10355134,7/8/2012,GEORGE HARROD,-3000,
10355134,7/8/2012,SAINSBURY'S S/MKT,-62.39,
10355134,7/8/2012,HOMEBASE LTD 087,-56.35,
10355134,7/8/2012,SAINSBURYS PETROL,-44.47,
10355134,7/8/2012,NEW FRIEND,-35.1,
10355134,7/8/2012,NEW SOUTHERN RAILW,-26.6,
10355134,7/8/2012,Amazon Web Service,-2.38,
10355134,6/8/2012,STANDARD LIFE A CO K1377871111,-120,
10355134,6/8/2012,HFC BANK LTD HFC BANK 47,-33.94,
10355134,6/8/2012,FILIPPO'S,-47.8,
10355134,6/8/2012,Amazon EU,-10.99,
10355134,6/8/2012,CO-OP GROUP 310445,-10.74,
10355134,6/8/2012,APPLE ITUNES STORE,-6.67,
10355134,2/8/2012,SKY DIGITAL 00620021111,-30.14,
10355134,2/8/2012,CHILDRENS MUTUAL SMI00001111,-50,
10355134,2/8/2012,VODAFONE LIMITED 25611111M55,-36.32,
10355134,2/8/2012,COOP ATM10:07AUG02,-20,
10355134,2/8/2012,NEW SOUTHERN RAILW,-18.6,
10355134,2/8/2012,ARTILLERY ARMS,-16.13,
10355134,2/8/2012,OZONE COFFEE ROAST,-6.3,
10355134,1/8/2012,SUBSCRIPTION,-13,
10355134,1/8/2012,SOUTHERN WATER 00040391111,-21.9,
10355134,1/8/2012,TV LICENCE MBP 1516961111,-12.12,
10355134,1/8/2012,HDC GENERAL ACCT 11481111,-212,
10355134,1/8/2012,LINK 09:49AUG01,-50,
10355134,1/8/2012,ASDA STORES,-116.49,
10355134,31/07/2012,HOMEBASE LTD 471,10.99,
10355134,31/07/2012,90339,-90,
10355134,31/07/2012,90336,-32.5,
10355134,31/07/2012,LINK 12:38JUL31,-30,
10355134,31/07/2012,HOMEBASE LTD 471,-45.15,
10355134,31/07/2012,WAGAMAMA,-35.35,
10355134,31/07/2012,VODAFONE LTD,-10,
10355134,31/07/2012,CO-OP GROUP 310447,-9.82,
10355134,31/07/2012,WH NELSTON,-7.48,
10355134,31/07/2012,PAYPAL *HUMBLEBUND,-6.58,
10355134,30/07/2012,JE512200A DWP CA 00010001111,233.8,
10355134,29/07/2012,"BOOTS,HORSHAM",-34.52,
10355134,29/07/2012,APPLE ITUNES STORE,-13.99,
10355134,29/07/2012,WILKINSON,-9.15,
10355134,27/07/2012,NCCL LIBERTY 029672,-5,
10355134,27/07/2012,CO-OP GROUP 000000,-42.79,
10355134,27/07/2012,TESCO EXPRESS 2688,-22.87,
10355134,26/07/2012,PAYPAL *GANDI SAS,-26.31,
10355134,25/07/2012,FRIENDS LIFE DD 016751111/308,-72.13,
10355134,25/07/2012,BOOTS REWARDSCHEME CR027351111,-30,
10355134,25/07/2012,90335,-32,
10355134,25/07/2012,PAYPAL *WESTSTARBA,-40,
10355134,25/07/2012,DAY LEWIS CHEMIST,-7.57,
10355134,24/07/2012,PM734102C DWP DLA 00010001111,423.6,
10355134,24/07/2012,682807591111-CHB,81.2,
10355134,24/07/2012,90338,-66,
10355134,24/07/2012,90337,-16.6,
10355134,24/07/2012,90333,-480,
10355134,24/07/2012,VISION EXPRESS LTD,-62.99,
10355134,24/07/2012,CLACKET LANE SERV,-50.48,
10355134,24/07/2012,SPAR HORSHAM,-28.12,
10355134,24/07/2012,SAINSBURYS S/MKTS,-24.56,
10355134,24/07/2012,THE SUSSEX BARN,-19.69,
10355134,24/07/2012,JOHNSON 1394,-10,
10355134,24/07/2012,ROBERT DYAS 71,-9.99,
10355134,24/07/2012,CO-OP GROUP 310445,-4.5,
10355134,23/07/2012,TFR 92881028631111,2000,
10355134,23/07/2012,INTEREST TAX PAID,0.13,
10355134,23/07/2012,GEORGE HARROD,-2000,
10355134,23/07/2012,LINK 12:09JUL21,-30,
10355134,23/07/2012,SLICEHOST,-26.25,
10355134,23/07/2012,WWW.MYCHILDANDMEMA,-14.95,
10355134,23/07/2012,AIRBRAKE,-3.28,
10355134,18/07/2012,BT GROUP PLC GB09331111-,-48.54,
10355134,18/07/2012,SAINSBURYS TO YOU,-192.31,
10355134,18/07/2012,BARCLAYCARD,-139.15,
10355134,18/07/2012,PAYPAL *STEAM GAME,-17.99,
10355134,18/07/2012,NEW SOUTHERN RAILW,-13.4,
10355134,17/07/2012,90334,-45,
10355134,17/07/2012,LINK 18:43JUL16,-40,
10355134,17/07/2012,LINK 00:53JUL17,-20,
10355134,17/07/2012,CO-OP GROUP 310447,-22.72,
10355134,17/07/2012,PAYPAL *RSCOMPONEN,-22.08,
10355134,17/07/2012,BACKBLAZE BACKUP,-6.67,
10355134,16/07/2012,TFR 92881028631111,1500,
10355134,16/07/2012,OPEN RIGHTS GROUP NELSTON203,-5,
10355134,16/07/2012,LINK 14:34JUL14,-40,
10355134,13/07/2012,FIRST UTILITY 426104-014,-77.15,
10355134,13/07/2012,LINK 22:05JUL12,-40,
10355134,12/7/2012,TRAVELEX UK LTD,-83.49,
